,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
10,10798436,Resident Evil 3,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Feral Interactive (Linux), Nixxes",Electronic Arts,,134469,14329,0,"1,000,000 .. 2,000,000",0,0,0,0,2738,5100,0,"English, Japanese, Simplified Chinese, Traditional Chinese, Korean, Russian",Action,12361,"{'Survival': 691, 'Free to Play': 659, 'Loot': 637, 'Multiplayer': 602, 'Crafting': 582, 'Tactical': 578, 'Shooter': 571, 'Looter Shooter': 553, 'PvP': 551, 'First-Person': 524, 'FPS': 511, 'Exploration': 510, 'Sci-fi': 500, 'PvE': 498, 'Aliens': 471, 'Online Co-Op': 443, 'Competitive': 429, 'Adventure': 419, 'Battle Royale': 414, 'Team-Based': 403}"
11,2622989,NARUTO TO BORUTO: SHINOBI STRIKER,Wargaming Group Limited,New Blood Interactive,,156,37,0,"1,000,000 .. 2,000,000",0,0,0,0,37,17,0,"English, Simplified Chinese, French, Italian, German, Spanish - Spain, Japanese, Russian, Traditional Chinese","Free to Play, Simulation",2,"{'World War II': 368, 'Simulation': 346, 'FPS': 321, 'Military': 311, 'Multiplayer': 285, 'Action': 271, 'Massively Multiplayer': 270, 'Realistic': 270, 'Singleplayer': 249, 'Strategy': 247, 'War': 233, 'First-Person': 197, 'Shooter': 184, 'Indie': 175, 'Historical': 158, 'Tactical': 153, 'Team-Based': 146, 'Violent': 122, 'Co-op': 113, 'Open World': 104}"
12,13627501,Monaco: What's Yours Is Mine,Beamdog,Łukasz Jakowski Games,,91556,7933,0,"2,000,000 .. 5,000,000",0,0,0,0,108,109,0,"English, French, German, Italian, Spanish - Spain","Casual, Indie",2560,"{'2D': 2044, 'Online Co-Op': 2040, 'Funny': 2020, ""Beat 'em up"": 2017, 'Hack and Slash': 2017, 'Co-op': 2012, 'Adventure': 2005, '4 Player Local': 1691, 'Local Co-Op': 1539, 'Multiplayer': 1513, 'Local Multiplayer': 1489, 'Action': 1473, 'Singleplayer': 1055, 'Medieval': 1007, 'Cartoony': 1001, 'Cute': 985, 'Comedy': 956, 'RPG': 953, 'Arcade': 952, 'Casual': 944}"
13,13235347,Marvel’s Spider-Man Remastered,Blobfish,"Proletariat, Inc.",,28420,7410,0,"1,000,000 .. 2,000,000",0,0,0,0,1526,3031,35,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Japanese, Korean","Adventure, Indie",16,"{'Free to Play': 386, 'Multiplayer': 272, 'Action': 190, 'Casual': 190, '3D': 171, '3D Platformer': 147, 'Battle Royale': 145, 'Colorful': 139, 'Family Friendly': 133, 'Cute': 122, 'Cartoony': 118, 'Nudity': 114, 'Character Customization': 111, 'Racing': 107, 'Massively Multiplayer': 100, 'PvP': 92, 'Funny': 91, 'Physics': 85, 'Comedy': 81, 'Indie': 79}"
14,520966,Fallout Shelter,CyberConnect2 Co. Ltd.,"FromSoftware, Inc., Bandai Namco Entertainment",,18791,23184,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,"English, French, German, Spanish - Spain, Portuguese - Brazil, Russian, Polish, Italian, Hungarian, Japanese, Simplified Chinese","Action, Adventure, RPG",449,"{'Utilities': 127, 'Audio Production': 120, 'Music': 90, 'Software': 89, 'Violent': 18, 'Difficult': 9, 'Great Soundtrack': 8, 'Action': 7, 'Nudity': 6}"
15,5231722,Golf With Your Friends,"Maddy Makes Games Inc., Extremely OK Games, Ltd.",Konami Digital Entertainment,,18088,10123,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,"English, German, French, Italian, Spanish - Spain, Portuguese - Brazil","Action, Adventure, Casual, Indie",1820,"{'Racing': 455, 'Automobile Sim': 420, 'Free to Play': 352, 'Multiplayer': 279, 'Driving': 191, 'Simulation': 178, 'Early Access': 154, 'Sports': 141, 'Massively Multiplayer': 84, 'Open World': 79, 'Action': 61, 'Controller': 57, 'Singleplayer': 41, 'Online Co-Op': 40, '4 Player Local': 16, 'Casual': 8, 'Arcade': 5, 'Shooter': 5, 'Gore': 5}"
16,5527368,Tom Clancy's Ghost Recon Wildlands,Daybreak Game Company,Toplitz Productions,,4040,567,0,"1,000,000 .. 2,000,000",0,0,0,0,5,2,0,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese","Action, Free to Play, Massively Multiplayer",1,"{'RPG': 781, 'Hack and Slash': 646, 'Action RPG': 564, 'Loot': 509, 'Mythology': 470, 'Multiplayer': 382, 'Co-op': 307, 'Singleplayer': 289, 'Classic': 271, 'Action': 242, 'Adventure': 240, 'Isometric': 234, 'Fantasy': 229, 'Top-Down': 211, 'Open World': 178, 'Atmospheric': 165, 'Great Soundtrack': 115, 'Story Rich': 104, 'Dungeon Crawler': 89, 'Level Editor': 78}"
17,9002657,Bright Memory,NEOWIZ BLESS STUDIO,KOG,,3502,1172,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,"English, French, Italian, German, Russian","Action, Adventure, Indie, Strategy",159,"{'Free to Play': 286, 'FPS': 163, 'Action': 157, 'Shooter': 145, 'Massively Multiplayer': 137, 'Multiplayer': 136, 'Battle Royale': 122, 'Controller': 94, 'First-Person': 68, 'Singleplayer': 66, 'Co-op': 52, 'Online Co-Op': 48, 'Adventure': 34, 'Zombies': 25, 'Violent': 10, 'Gore': 9, 'Story Rich': 8, 'Sexual Content': 7}"
18,677817,BioShock 2 Remastered,Ronimo Games,Scott Cawthon,,4150,1648,0,"1,000,000 .. 2,000,000",0,0,0,0,72,121,89,"English, Czech, French, German, Hungarian, Polish, Simplified Chinese, Traditional Chinese, Spanish - Spain, Turkish","Action, Adventure, Casual, Free to Play, Indie",2051,"{'Horror': 1178, 'Survival Horror': 895, 'First-Person': 768, 'Singleplayer': 654, 'Atmospheric': 611, 'Zombies': 588, 'Gore': 587, 'Psychological Horror': 545, 'Action': 496, 'Violent': 458, 'Survival': 414, 'Adventure': 404, 'Story Rich': 397, 'Puzzle': 394, 'VR': 372, 'Multiplayer': 319, 'FPS': 310, 'Exploration': 278, 'Shooter': 270, 'Classic': 151}"
19,7198035,Sins of a Solar Empire: Rebellion,Gas Powered Games,Bethesda Softworks,,185813,6574,0,"2,000,000 .. 5,000,000",0,0,0,0,415,1465,89,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese","Action, Adventure",10720,"{'Action': 1325, 'Open World': 1105, 'Stealth': 881, 'Superhero': 867, 'Adventure': 855, 'Third Person': 825, 'Singleplayer': 613, ""Beat 'em up"": 448, 'Comic Book': 339, 'Detective': 334, 'Story Rich': 319, 'Atmospheric': 301, 'Fighting': 295, 'Action-Adventure': 243, 'Cinematic': 173, 'Controller': 161, '3D Vision': 121, 'Metroidvania': 99, 'Sandbox': 90, 'Multiplayer': 44}"
20,5851327,Grand Theft Auto IV: The Complete Edition,GSC Game World,Deep Silver,,56968,12209,0,"2,000,000 .. 5,000,000",0,0,0,0,182,403,0,"English, French, German, Italian, Spanish - Spain, Russian, Polish",Strategy,3375,"{'Music': 894, 'Rhythm': 583, 'Indie': 516, 'Casual': 346, 'Music-Based Procedural Generation': 332, 'Arcade': 219, 'Colorful': 217, 'Singleplayer': 188, 'Relaxing': 185, 'Score Attack': 161, 'Addictive': 156, 'Local Co-Op': 138, 'Procedural Generation': 137, 'Replay Value': 97, 'Puzzle': 88, 'Fast-Paced': 78, 'Great Soundtrack': 77, 'Racing': 67, 'Co-op': 58, 'Local Multiplayer': 56}"
21,5942997,Risk of Rain 2,Freejam,SCS Software,,2015,12,0,"1,000,000 .. 2,000,000",0,0,0,0,4599,8499,87,"English, French, German, Spanish - Spain, Portuguese - Brazil, Russian","Action, Adventure, RPG",1694,"{'Action': 158, 'LEGO': 77, 'Ninja': 53, 'Multiplayer': 53, 'Co-op': 50, 'Open World': 45, 'Adventure': 36, 'Funny': 34, 'Comedy': 33, 'Family Friendly': 32, 'Local Co-Op': 22, 'Singleplayer': 17, 'Third Person': 13, 'Local Multiplayer': 9, 'Story Rich': 9, 'Online Co-Op': 6, 'Anime': 5}"
22,13525092,Fallout 2: A Post Nuclear Role Playing Game,Desertkun,"Bandai Namco Entertainment, FromSoftware, Inc",,310319,38661,0,"2,000,000 .. 5,000,000",0,0,0,0,1290,3249,3,"English, German, French, Italian, Korean, Spanish - Spain, Simplified Chinese, Russian, Japanese, Portuguese - Portugal, Polish, Danish, Dutch, Finnish, Norwegian, Swedish, Hungarian, Czech, Romanian, Turkish, Portuguese - Brazil, Bulgarian, Greek, Ukrainian, Traditional Chinese",Action,7413,"{'Free to Play': 929, 'Superhero': 641, 'MMORPG': 569, 'Massively Multiplayer': 566, 'Character Customization': 518, 'Action': 496, 'Comic Book': 490, 'RPG': 486, 'Adventure': 482, 'Controller': 477, 'Third Person': 474, 'Multiplayer': 472, 'Combat': 469, ""Beat 'em up"": 466, 'Open World': 464, 'Exploration': 463, 'PvP': 461, 'Fighting': 216, 'Online Co-Op': 210, 'Co-op': 187}"
23,16050525,Magic Duels,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Feral Interactive (Linux), Nixxes",Soviet Games,,180806,8617,0,"2,000,000 .. 5,000,000",0,0,0,0,900,1364,0,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Russian","Action, Adventure",9563,"{'Action': 414, 'Looter Shooter': 355, 'Gore': 339, 'FPS': 333, 'Co-op': 319, 'Multiplayer': 282, 'Ninja': 278, 'Swordplay': 254, 'Hack and Slash': 253, 'Shooter': 251, 'First-Person': 223, 'Comedy': 217, 'Open World': 193, 'Demons': 179, 'Funny': 162, 'Loot': 161, 'Singleplayer': 157, 'Adventure': 152, 'Parkour': 107, 'Memes': 101}"
24,6169551,METAL GEAR SOLID V: GROUND ZEROES,"KOEI TECMO GAMES CO., LTD.",Codebrush Games,,187896,28015,0,"1,000,000 .. 2,000,000",0,0,0,0,134,130,0,"English, Simplified Chinese, Traditional Chinese, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Swedish, Thai, Turkish","Action, Indie, Simulation, Strategy",10258,"{'Survival': 40852, 'Open World Survival Craft': 40638, 'Multiplayer': 10160, 'Co-op': 7797, 'Open World': 5759, 'Adventure': 4953, 'Crafting': 4627, 'Online Co-Op': 4199, 'Sandbox': 3506, 'Difficult': 2599, 'Indie': 2307, '2D': 2177, 'Atmospheric': 1781, 'Funny': 1748, 'Survival Horror': 1714, 'Strategy': 1426, 'Horror': 1266, 'Singleplayer': 1217, 'Action': 1086, 'Rogue-like': 940}"
25,6526983,Kenshi,"CAPCOM Co., Ltd.",Xbox Game Studios,,1564,837,0,"1,000,000 .. 2,000,000",0,0,0,0,168,344,0,English,Action,578,"{'Free to Play': 6199, 'World War II': 3424, 'FPS': 3334, 'Multiplayer': 3328, 'War': 2899, 'Shooter': 2680, 'Action': 2406, 'First-Person': 1829, 'Massively Multiplayer': 1682, 'Strategy': 1236, 'Tactical': 1200, 'Co-op': 1166, 'Historical': 1093, 'Open World': 1012, 'Simulation': 727, 'Atmospheric': 641, 'Adventure': 591, 'Indie': 526, 'Early Access': 453, 'RTS': 362}"
26,253796,Borderlands Game of the Year,Gearbox Software,2K,,239967,13817,0,"5,000,000 .. 10,000,000",0,0,0,0,357,611,0,English,"Action, Indie, Massively Multiplayer, Simulation, Strategy",56728,"{'Open World': 683, 'Action': 579, 'Automobile Sim': 530, '1980s': 485, 'Classic': 445, 'Great Soundtrack': 388, 'Crime': 360, 'Third Person': 340, 'Singleplayer': 333, 'Sandbox': 258, 'Driving': 257, 'Atmospheric': 236, 'Third-Person Shooter': 224, 'Violent': 212, 'Shooter': 209, 'Adventure': 202, 'Mature': 188, 'Music': 157, 'Funny': 156, 'Multiplayer': 136}"
27,4199335,Bloons TD 6,HL-Galgame,"OP Productions LLC, Free Reign East LLC",,23065,2621,0,"2,000,000 .. 5,000,000",0,0,0,0,3,6,0,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Spanish - Latin America, Russian, Simplified Chinese, Turkish, Ukrainian, Czech, Finnish, Hungarian, Polish, Traditional Chinese, Slovak","Action, Casual, Free to Play, Massively Multiplayer",500,"{'Action': 273, 'Open World': 273, 'Story Rich': 248, 'Crime': 247, 'Singleplayer': 206, 'Adventure': 200, 'Sexual Content': 160, 'Remake': 146, 'Third-Person Shooter': 142, 'Third Person': 126, 'Violent': 126, 'Multiplayer': 124, 'Classic': 115, 'Atmospheric': 110, 'Mature': 105, 'Shooter': 103, 'Gore': 90, 'Noir': 89, 'Great Soundtrack': 67, 'Racing': 38}"
28,15755863,Baldur's Gate 3,Neon Giant,Annapurna Interactive,,79160,8654,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,"English, French, Spanish - Spain, Portuguese - Brazil, Italian, German, Arabic, Danish, Dutch, Korean, Polish, Russian, Traditional Chinese","Action, Adventure, Casual, Simulation, Strategy",47276,"{'Indie': 469, 'Action': 449, 'Action Roguelike': 365, 'Pixel Graphics': 332, '2D': 250, 'Rogue-lite': 247, 'Rogue-like': 245, 'Singleplayer': 184, 'Platformer': 138, 'Metroidvania': 126, 'Difficult': 125, 'Side Scroller': 123, 'Adventure': 120, 'Hack and Slash': 119, 'Villain Protagonist': 115, 'Action-Adventure': 78, 'Story Rich': 68, 'Fantasy': 68, 'Cute': 56, 'Multiplayer': 44}"
29,13587299,STAR WARS Knights of the Old Republic II - The Sith Lords,Panic Art Studios Ltd.,"2K, Missing Link Games",,38650,10765,0,"1,000,000 .. 2,000,000",0,0,0,0,366,893,27,English,"Action, Casual, Indie",1126,"{'Free to Play': 1906, 'Racing': 1890, 'Automobile Sim': 1652, 'Simulation': 1646, 'Realistic': 1631, 'Multiplayer': 835, 'Driving': 585, 'Competitive': 565, 'Physics': 556, 'Difficult': 450, 'PvP': 445, 'Sports': 443, 'Controller': 307, 'VR': 299, 'Singleplayer': 294, 'First-Person': 281, 'Massively Multiplayer': 270, 'e-sports': 261, 'FPS': 242, 'Artificial Intelligence': 240}"
30,11046302,Zero Escape: Zero Time Dilemma,"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)",Shiro Unlimited,,11938,1216,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,"English, German, French, Italian, Simplified Chinese, Portuguese - Brazil, Spanish - Spain, Traditional Chinese, Russian, Korean, Japanese, Spanish - Latin America, Polish","Simulation, Strategy",131,"{'Strategy': 3220, 'Turn-Based Strategy': 2332, 'Multiplayer': 1547, 'Historical': 1542, 'Singleplayer': 1267, 'Grand Strategy': 1241, 'Turn-Based': 1227, '4X': 1051, 'War': 980, 'Simulation': 949, 'City Builder': 877, 'Tactical': 726, 'Building': 530, 'Management': 509, 'Great Soundtrack': 461, 'Moddable': 442, 'Online Co-Op': 426, 'Co-op': 413, 'Hex Grid': 352, 'Atmospheric': 173}"
31,5210453,Kerbal Space Program,Zeboyd Digital Entertainment LLC,Paradox Interactive,,20866,12688,0,"1,000,000 .. 2,000,000",0,0,0,0,3,5,0,"English, French, German, Italian, Spanish - Spain, Czech, Polish, Russian","Casual, Indie, Racing",135,"{'Free to Play': 15258, 'Action RPG': 14834, 'Looter Shooter': 14749, 'Third-Person Shooter': 14720, 'Action': 14711, 'RPG': 14698, 'Third Person': 14645, 'Character Customization': 7697, 'Massively Multiplayer': 7626, 'Online Co-Op': 7609, 'Co-op': 7552, 'Singleplayer': 7523, 'PvE': 7520, 'Sci-fi': 7513, 'Lore-Rich': 7501, 'Space': 7489, 'Shooter': 7486, 'Hack and Slash': 7482, 'Ninja': 7472, 'Parkour': 7470}"
32,12526915,DARK SOULS: REMASTERED,Shining Rock Software LLC,Codename Entertainment Inc.,,78704,4263,0,"1,000,000 .. 2,000,000",0,0,0,0,8,3,0,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Turkish, Simplified Chinese","Action, Adventure, Indie, Simulation",253,"{'Precision Platformer': 1062, 'Difficult': 1053, 'Pixel Graphics': 1050, 'Great Soundtrack': 1041, 'Platformer': 991, 'Indie': 920, '2D Platformer': 845, 'Female Protagonist': 706, 'Singleplayer': 588, '2D': 582, 'Story Rich': 557, 'Adventure': 467, 'Cute': 426, 'Puzzle-Platformer': 358, 'Atmospheric': 332, 'Action': 313, 'LGBTQ+': 304, 'Side Scroller': 224, 'Retro': 217, 'Exploration': 212}"
33,1256043,Sniper Elite 4,Ubisoft Montreal,2K,,143462,12552,0,"2,000,000 .. 5,000,000",0,0,0,0,1311,3453,90,"English, German, French, Italian, Simplified Chinese, Portuguese - Brazil, Spanish - Spain, Traditional Chinese, Russian, Korean, Japanese, Spanish - Latin America, Polish",Action,155,"{'Open World Survival Craft': 2983, 'Survival': 2825, 'Multiplayer': 2241, 'Open World': 1928, 'Crafting': 1810, 'First-Person': 1266, 'Adventure': 1244, 'Exploration': 1180, 'Realistic': 1100, 'Singleplayer': 1084, 'Building': 1066, 'Sandbox': 840, 'Co-op': 822, 'Simulation': 713, 'Early Access': 666, 'Underwater': 636, 'Action': 518, 'Atmospheric': 479, 'Indie': 411, 'Strategy': 400}"
34,2287780,Codename CURE,"CAPCOM Co., Ltd.",Warner Bros. Games,,4187,922,0,"1,000,000 .. 2,000,000",0,0,0,0,150,150,0,English,"Adventure, RPG, Strategy, Early Access",310,"{'Visual Novel': 3460, 'Story Rich': 2647, 'Free to Play': 2638, 'Anime': 2517, 'Great Soundtrack': 2133, 'Choices Matter': 1888, 'Mature': 1581, 'Romance': 1523, 'Singleplayer': 1467, 'Nudity': 1377, 'Multiple Endings': 1271, '2D': 943, 'Dating Sim': 904, 'Replay Value': 825, 'Adventure': 792, 'Mystery': 791, 'Comedy': 614, 'Indie': 509, 'Classic': 497, 'Casual': 338}"
35,10881010,Borderlands 2,DICE,2K,,122040,4158,0,"2,000,000 .. 5,000,000",0,0,0,0,1175,2257,0,"English, French, German",Action,11948,"{'FPS': 280, 'Action': 231, 'Shooter': 193, 'Multiplayer': 169, 'Military': 169, 'Singleplayer': 167, 'First-Person': 137, 'War': 117, 'Modern': 81, 'Co-op': 53, 'Realistic': 52, 'America': 44, 'Controller': 38, 'Stealth': 36, 'Mature': 36, 'Linear': 36, 'Open World': 17, 'Atmospheric': 13, 'Story Rich': 11, 'VR': 11}"
36,14006330,Defiance,"CAPCOM Co., Ltd.",FireFly Studios,,78214,397,0,"5,000,000 .. 10,000,000",0,0,0,0,15,24,0,English,"Action, Casual, Indie, RPG",1991,"{'Free to Play': 686, 'Multiplayer': 396, 'Robots': 381, 'Action': 329, 'Shooter': 313, 'Building': 303, 'Tanks': 301, 'PvP': 216, 'Third Person': 177, 'War': 173, 'Massively Multiplayer': 162, 'Sandbox': 159, 'Indie': 129, 'Open World': 104, 'Strategy': 103, 'Funny': 92, 'Simulation': 88, 'FPS': 80, 'Adventure': 70, 'Singleplayer': 65}"
37,15255067,Assetto Corsa,FromSoftware,Frozenbyte,,105777,13948,0,"5,000,000 .. 10,000,000",0,0,0,0,24,35,0,English,Action,28691,"{'Sports': 399, 'Open World': 317, 'Free to Play': 310, 'Multiplayer': 305, 'Simulation': 207, 'Early Access': 148, 'Snow': 148, 'Indie': 120, 'Realistic': 114, 'First-Person': 99, 'Skiing': 97, 'Singleplayer': 97, 'VR': 91, 'Snowboarding': 87, 'Adventure': 86, 'Controller': 85, 'Action': 83, 'Exploration': 68, 'Casual': 64, 'Third Person': 62}"
38,4625739,BioShock 2 Remastered,DIMPS,Jagex Ltd,,50395,4965,0,"1,000,000 .. 2,000,000",0,0,0,0,3213,6607,0,"English, Korean, Japanese, Simplified Chinese, Traditional Chinese, Russian, Bulgarian, Spanish - Latin America, French, Portuguese - Portugal, Portuguese - Brazil","Action, Indie, Simulation",1135,"{'Free to Play': 511, 'RPG': 282, 'Massively Multiplayer': 210, 'Casual': 207, 'Multiplayer': 195, 'Adventure': 178, 'Strategy': 168, 'Clicker': 145, 'MMORPG': 140, 'Character Customization': 128, 'Fantasy': 127, 'Indie': 110, 'Comedy': 85, 'Medieval': 83, 'Singleplayer': 68, 'Funny': 62, 'Classic': 60, 'Dark Humor': 55, 'Story Rich': 49, 'Cult Classic': 46}"
